"Horodateur","Quel est votre age ?","Sur quelles plateformes jouez-vous principalement ?","Quels sont vos 2 genres de jeux video preferes ?","Quel type d'univers vous attire le plus pour une experience narrative ?","Face a la hausse des budgets, quel modele economique preferez-vous aujourd'hui ?","Qu'est-ce qui vous decide principalement a acheter un jeu Premium (AAA) ?","Si un studio lancait demain un nouveau Action-RPG Cyberpunk AAA, solo et sans microtransactions, seriez-vous interesse(e) ?"
"2026/06/25 5:15:07 PM UTC+3","25 - 34 ans","Mobile / Tablette","Action / Aventure (ex: The Last of Us, God of War, GTA);RPG / Jeu de Role (ex: The Witcher, Cyberpunk 2077, Final Fantasy)","Contemporain (Monde reel d'aujourd'hui)","Payer le jeu plein pot (70 - 80 euros) pour avoir une experience complete sans aucun achat cache","La note des critiques (Score Metacritic / Tests presse)","2"
"2026/06/26 3:59:16 PM UTC+3","25 - 34 ans","PlayStation (PS4 / PS5);PC;Xbox (One / Series)","Action / Aventure (ex: The Last of Us, God of War, GTA);RPG / Jeu de Role (ex: The Witcher, Cyberpunk 2077, Final Fantasy)","Medieval Fantastique (Dragons, magie...)","Payer le jeu plein pot (70 - 80 euros) pour avoir une experience complete sans aucun achat cache","La note des critiques (Score Metacritic / Tests presse);L'univers et l'histoire","5"
"2026/06/26 4:04:33 PM UTC+3","18 - 24 ans","PlayStation (PS4 / PS5);PC","Shooter / FPS (ex: Call of Duty, Valorant);Multijoueur / Battle Royale (ex: Fortnite, Apex Legends)","Contemporain (Monde reel d'aujourd'hui)","Jouer a un jeu gratuit (Free-to-Play), mais avec des achats integres","Le fait que ce soit une suite d'un jeu que je connais","3"
"2026/06/26 4:05:22 PM UTC+3","Moins de 18 ans","PlayStation (PS4 / PS5);Nintendo Switch","Action / Aventure (ex: The Last of Us, God of War, GTA);Sport / Course (ex: EA FC / FIFA, Gran Turismo)","Medieval Fantastique (Dragons, magie...)","Jouer a un jeu gratuit (Free-to-Play), mais avec des achats integres","Les graphismes (Unreal Engine 5, fluidite);Le fait que ce soit une suite d'un jeu que je connais","4"
"2026/06/26 4:06:19 PM UTC+3","45 ans et plus","PlayStation (PS4 / PS5);PC;Xbox (One / Series)","Action / Aventure (ex: The Last of Us, God of War, GTA);RPG / Jeu de Role (ex: The Witcher, Cyberpunk 2077, Final Fantasy)","Cyberpunk / Science-Fiction sombre","Payer un abonnement mensuel (type Xbox Game Pass) pour acceder a un catalogue","La note des critiques (Score Metacritic / Tests presse);L'univers et l'histoire;Les graphismes (Unreal Engine 5, fluidite)","5"
"2026/06/26 4:14:57 PM UTC+3","18 - 24 ans","PlayStation (PS4 / PS5)","Shooter / FPS (ex: Call of Duty, Valorant);Multijoueur / Battle Royale (ex: Fortnite, Apex Legends)","Cyberpunk / Science-Fiction sombre","Payer le jeu plein pot (70 - 80 euros) pour avoir une experience complete sans aucun achat cache","La note des critiques (Score Metacritic / Tests presse);Les graphismes (Unreal Engine 5, fluidite);Le fait que ce soit une suite d'un jeu que je connais","3"
"2026/07/02 4:06:26 PM UTC+3","25 - 34 ans","PlayStation (PS4 / PS5);PC","Action / Aventure (ex: The Last of Us, God of War, GTA);RPG / Jeu de Role (ex: The Witcher, Cyberpunk 2077, Final Fantasy);Shooter / FPS (ex: Call of Duty, Valorant);Multijoueur / Battle Royale (ex: Fortnite, Apex Legends)","Post-apocalyptique (Survie, zombies...)","Payer le jeu plein pot (70 - 80 euros) pour avoir une experience complete sans aucun achat cache","La note des critiques (Score Metacritic / Tests presse);Les graphismes (Unreal Engine 5, fluidite)","4"
"2026/07/02 4:07:10 PM UTC+3","Moins de 18 ans","PlayStation (PS4 / PS5);PC;Nintendo Switch;Mobile / Tablette","Shooter / FPS (ex: Call of Duty, Valorant);Sport / Course (ex: EA FC / FIFA, Gran Turismo);Multijoueur / Battle Royale (ex: Fortnite, Apex Legends)","Cyberpunk / Science-Fiction sombre","Jouer a un jeu gratuit (Free-to-Play), mais avec des achats integres","Le fait que ce soit une suite d'un jeu que je connais","1"
"2026/07/02 4:07:33 PM UTC+3","25 - 34 ans","PC;Xbox (One / Series)","Action / Aventure (ex: The Last of Us, God of War, GTA);RPG / Jeu de Role (ex: The Witcher, Cyberpunk 2077, Final Fantasy)","Medieval Fantastique (Dragons, magie...)","Payer le jeu plein pot (70 - 80 euros) pour avoir une experience complete sans aucun achat cache","La note des critiques (Score Metacritic / Tests presse);L'univers et l'histoire;Les graphismes (Unreal Engine 5, fluidite)",""
"2026/07/02 4:07:51 PM UTC+3","35 - 44 ans","PC;Xbox (One / Series);Nintendo Switch","Shooter / FPS (ex: Call of Duty, Valorant);Sport / Course (ex: EA FC / FIFA, Gran Turismo)","Post-apocalyptique (Survie, zombies...)","Payer le jeu plein pot (70 - 80 euros) pour avoir une experience complete sans aucun achat cache","La note des critiques (Score Metacritic / Tests presse);L'univers et l'histoire;Le fait que ce soit une suite d'un jeu que je connais","5"
"2026/07/02 4:27:16 PM UTC+3","35 - 44 ans","PlayStation (PS4 / PS5);PC;Xbox (One / Series)","Action / Aventure (ex: The Last of Us, God of War, GTA);RPG / Jeu de Role (ex: The Witcher, Cyberpunk 2077, Final Fantasy)","Cyberpunk / Science-Fiction sombre","Payer le jeu plein pot (70 - 80 euros) pour avoir une experience complete sans aucun achat cache","La note des critiques (Score Metacritic / Tests presse);L'univers et l'histoire;Les graphismes (Unreal Engine 5, fluidite);Le fait que ce soit une suite d'un jeu que je connais","5"
