id_anonyme;sexe;type_vehicule;usage_vehicule;age_vehicule;formule;mois_demande;etat_dossier;tranche_age;tranche_revenus;enfants;anciennete_demande;tranche_tarifs
1;F;Sports Car;Commercial;7.0;dev_integral;février;complet;25-40 ans;60k€+;Oui;>90 jours;Confort
2;F;Minivan;Private;1.0;dev_express;mai;complet;>40 ans;40-60k€;Oui;<30 jours;Standard
3;F;Pickup;Private;4.0;dev_express;janvier;complet;>40 ans;20-40k€;Oui;>90 jours;Standard
4;F;z_SUV;Private;5.0;dev_integral;avril;complet;<25 ans;0-20k€;Non;30-59 jours;Confort
5;M;Panel Truck;Commercial;12.0;dev_vip;mars;complet;>40 ans;Non renseigné;Non;60–89 jours;Premium
6;F;z_SUV;Private;15.0;dev_premium;mars;complet;25-40 ans;60k€+;Oui;60–89 jours;Premium
7;F;Minivan;Commercial;9.0;dev_express;mars;complet;>40 ans;60k€+;Oui;60–89 jours;Standard
8;M;z_SUV;Private;10.0;dev_premium;mars;complet;>40 ans;40-60k€;Non;60–89 jours;Confort
9;M;Minivan;Private;14.0;dev_premium;janvier;complet;>40 ans;60k€+;Non;>90 jours;Confort
10;F;Panel Truck;Commercial;10.0;dev_integral;mars;complet;>40 ans;Non renseigné;Non;60–89 jours;Confort
11;F;Minivan;Private;10.0;dev_express;mai;complet;>40 ans;20-40k€;Oui;<30 jours;Standard
12;M;z_SUV;Private;1.0;dev_premium;janvier;complet;<25 ans;20-40k€;Oui;>90 jours;Confort
13;F;z_SUV;Private;18.0;dev_express;mai;complet;>40 ans;60k€+;Non;<30 jours;Standard
14;M;Van;Commercial;6.0;dev_integral;mai;complet;<25 ans;0-20k€;Non;<30 jours;Confort
15;M;Minivan;Private;1.0;dev_integral;avril;complet;>40 ans;20-40k€;Oui;30-59 jours;Confort
16;M;Minivan;Private;13.0;dev_express;mai;complet;>40 ans;40-60k€;Non;<30 jours;Standard
17;F;z_SUV;Private;15.0;dev_integral;avril;complet;>40 ans;60k€+;Non;30-59 jours;Confort
18;F;Van;Commercial;8.0;dev_express;mars;complet;>40 ans;40-60k€;Non;60–89 jours;Standard
19;F;Minivan;Private;11.0;dev_express;février;complet;>40 ans;60k€+;Non;>90 jours;Standard
20;F;z_SUV;Private;10.0;dev_integral;avril;complet;>40 ans;40-60k€;Non;30-59 jours;Standard
21;M;Minivan;Private;16.0;dev_express;mars;complet;25-40 ans;60k€+;Oui;60–89 jours;Standard
